Policy,Classifier,Wins,D2H,AUC,IFA,Brier,Recall,PF,GM
E,RF,7,0.39,0.72,3.0,0.19,0.45,0.15,0.5
RR,RF,7,0.4,0.67,1.0,0.27,0.44,0.2,0.49
